Date,Open,High,Low,Close,Volume,
06/02/2018,1343.1,1349.3,1322.8,1329.5,457363,
05/02/2018,1334.6,1344.8,1331.6,1336.5,298950,
02/02/2018,1352.2,1353.3,1330.1,1337.3,416513,
01/02/2018,1348.2,1354.3,1340.2,1347.9,301115,
31/01/2018,1341.8,1351,1335.5,1343.1,365063,
30/01/2018,1344,1352.5,1337.5,1340,394887,
29/01/2018,1353.7,1356.3,1340.9,1345.1,224553,
26/01/2018,1352.7,1361,1348.6,1357.2,139946,
25/01/2018,1362.7,1370.5,1346.2,1368,140915,
24/01/2018,1346.2,1366.8,1344.1,1361.4,147749,
23/01/2018,1333,1341.5,1330.7,1336.7,354786,
22/01/2018,1334,1335.8,1328,1331.9,325008,
19/01/2018,1327,1338.2,1326.6,1333.1,268077,
18/01/2018,1327.4,1333.3,1324.3,1327.2,305093,
17/01/2018,1339,1344.5,1326.6,1339.2,358312,
16/01/2018,1340.9,1345,1332.1,1337.1,472155,
12/01/2018,1337.3,1342.4,1334.9,1334.9,44651,
11/01/2018,1317.5,1324.7,1316.1,1322.5,254541,
10/01/2018,1313.3,1328.6,1308.9,1319.3,382605,
09/01/2018,1321.2,1321.4,1309.5,1313.7,321636,
08/01/2018,1321.8,1323,1315.7,1320.4,238332,
05/01/2018,1324.4,1324.7,1314.6,1322.3,322422,
04/01/2018,1315.5,1327.3,1307.1,1321.6,350803,
03/01/2018,1319,1323,1308.9,1318.5,342866,
02/01/2018,1305.3,1320.4,1304.6,1316.1,269072,
29/12/2017,1297.5,1309.8,1296.1,1309.3,226714,
28/12/2017,1292,1297.3,1290.5,1297.2,213624,
27/12/2017,1287.8,1293.2,1286,1291.4,193217,
26/12/2017,1279,1288.4,1277.7,1287.5,130981,
22/12/2017,1270.3,1280.4,1268.4,1278.8,180314,
21/12/2017,1268.8,1272.5,1266,1270.6,188932,
20/12/2017,1264.8,1271.4,1264.4,1269.6,198670,
19/12/2017,1265.4,1268.6,1262.3,1264.2,196646,
18/12/2017,1257.8,1267,1255.3,1265.5,202834,
15/12/2017,1255.5,1264.5,1255.2,1257.5,230959,
14/12/2017,1258.1,1261.6,1252.8,1257.1,252441,
13/12/2017,1246.3,1259.7,1242.3,1248.6,296022,
12/12/2017,1243.9,1247.9,1238.3,1241.7,216831,
11/12/2017,1249.2,1253.4,1242.4,1246.9,185028,
08/12/2017,1249.5,1254.4,1244.4,1248.4,270293,
07/12/2017,1265.2,1266.8,1245.8,1253.1,305430,
06/12/2017,1268.3,1271.8,1264.8,1266.1,239509,
05/12/2017,1279.1,1279.8,1263.2,1264.9,311493,
04/12/2017,1277.6,1280.5,1273.5,1277.7,250246,
01/12/2017,1277.9,1292.5,1274.2,1282.3,421344,
30/11/2017,1286.9,1288.4,1273.1,1276.7,331729,
29/11/2017,1298,1300.4,1285.1,1286.2,370799,
28/11/2017,1298.8,1301.3,1294.5,1299.2,224246,
27/11/2017,1292,1303.4,1290.7,1298.9,143791,
24/11/2017,1296.1,1297.6,1289.5,1291.8,83375,
22/11/2017,1296.1,1296.4,1293.7,1296.8,5008,
21/11/2017,1276.6,1284.5,1275.8,1281.7,315463,
20/11/2017,1294.1,1295.1,1274.1,1275.3,399552,
17/11/2017,1278.8,1297.5,1278.1,1296.5,368094,
16/11/2017,1278,1281.8,1274.9,1278.2,268021,
15/11/2017,1280.7,1290,1276.5,1277.7,417251,
14/11/2017,1278.9,1283.8,1269.7,1282.9,342150,
13/11/2017,1275.3,1279.9,1274.4,1278.9,213187,
10/11/2017,1286,1287.7,1273.6,1274.2,342281,
09/11/2017,1286,1287.7,1285.4,1287.5,20559,
08/11/2017,1276.4,1288.1,1276.1,1283.7,346077,
07/11/2017,1282.6,1282.8,1272.3,1275.8,327931,
06/11/2017,1270.7,1283.9,1266.4,1281.6,340658,
03/11/2017,1277.5,1281.2,1265.9,1269.2,361591,
02/11/2017,1275.2,1285.1,1274,1278.1,374063,
01/11/2017,1271.8,1281.9,1268.5,1277.3,376514,
31/10/2017,1277.6,1279.1,1268.3,1270.5,264613,
30/10/2017,1274.3,1279.9,1269.8,1277.7,253987,
27/10/2017,1268,1275.2,1263.8,1271.8,352515,
26/10/2017,1278.6,1283.8,1266.4,1269.6,377535,
25/10/2017,1278,1281.3,1272,1279,368454,
24/10/2017,1283.9,1285.3,1274.8,1278.3,262004,
23/10/2017,1281.5,1284.7,1273.6,1280.9,276923,
20/10/2017,1292,1292.9,1279.3,1280.5,308883,
19/10/2017,1282.8,1292.8,1277.6,1290,345419,
18/10/2017,1286.9,1290.8,1278.6,1283,250218,
17/10/2017,1297.2,1298.4,1283.2,1286.2,328145,
16/10/2017,1306,1308.4,1292.5,1303,265876,
13/10/2017,1296,1306.4,1292.9,1304.6,290549,
12/10/2017,1294.6,1299.8,1291.8,1296.5,239955,
11/10/2017,1290.7,1295.9,1286.8,1288.9,258782,
10/10/2017,1286.8,1296.7,1284.6,1293.8,308402,
09/10/2017,1278.6,1288,1277.7,1285,195058,
06/10/2017,1270.6,1279.2,1262.8,1274.9,361565,
05/10/2017,1277.5,1281.6,1268.5,1273.2,217774,
04/10/2017,1274.5,1285,1273.1,1276.8,266333,
03/10/2017,1273.1,1277.4,1271,1274.6,202951,
02/10/2017,1282.2,1282.8,1272,1275.8,267375,
29/09/2017,1290.1,1293.2,1278.2,1284.8,280671,
28/09/2017,1285.1,1291.6,1280.4,1288.7,279916,
27/09/2017,1297.3,1299.2,1284.1,1287.8,364084,
26/09/2017,1314.2,1317.1,1295,1301.7,376702,
25/09/2017,1301.5,1315.8,1291.7,1311.5,357294,
22/09/2017,1294.1,1301.9,1294.1,1297.5,256421,
21/09/2017,1304.8,1305,1291.2,1294.8,388118,
20/09/2017,1314.7,1319.8,1299.5,1316.4,343639,
19/09/2017,1310.5,1315.3,1308.7,1310.6,268037,
18/09/2017,1324,1324,1308.1,1310.8,259701,
15/09/2017,1333.7,1338.2,1323,1325.2,313245,
14/09/2017,1327.6,1334.9,1319.5,1329.3,327600,
13/09/2017,1336.2,1340.5,1324.5,1328,298024,
12/09/2017,1331.7,1336.3,1326.7,1332.7,281134,
11/09/2017,1341.5,1344.6,1330.6,1335.7,292049,
08/09/2017,1354,1362.4,1347.1,1351.2,377234,
07/09/2017,1339,1355.5,1337.2,1350.3,354009,
06/09/2017,1345,1347.7,1336.4,1339,297521,
05/09/2017,1339.8,1349.7,1331.1,1344.5,546280,
01/09/2017,1339.7,1343.5,1330.4,1330.4,52922,
31/08/2017,1314.1,1329,1302.3,1322.2,359132,
30/08/2017,1314.8,1319.3,1310.1,1314.1,301091,
29/08/2017,1320.5,1331.9,1310.6,1318.9,444146,
28/08/2017,1297.6,1317.8,1297,1315.3,310489,
25/08/2017,1291.3,1301.4,1281.3,1297.9,350288,
24/08/2017,1296,1296.8,1289.3,1292,237998,
23/08/2017,1290.4,1297,1287.9,1294.7,226744,
22/08/2017,1297.1,1298.1,1287,1291,259806,
21/08/2017,1289.1,1299.7,1286.2,1296.7,254319,
18/08/2017,1293.8,1306.9,1289.1,1291.6,379352,
17/08/2017,1290,1296,1286.4,1292.4,316050,
16/08/2017,1276.9,1289.5,1273.2,1282.9,268454,
15/08/2017,1287,1287.7,1272.7,1279.7,278698,
14/08/2017,1296.4,1296.4,1284.2,1290.4,233106,
11/08/2017,1292.5,1298.1,1286.7,1294,259307,
10/08/2017,1283.2,1293.8,1280.3,1290.1,257651,
09/08/2017,1266.1,1284.7,1265.9,1279.3,280929,
08/08/2017,1262.9,1271,1257.1,1262.6,240864,
07/08/2017,1264.3,1265.6,1261.3,1264.7,120039,
04/08/2017,1275.3,1276.5,1259.8,1264.6,260834,
03/08/2017,1272.6,1277,1262.9,1274.4,198615,
02/08/2017,1275.2,1279,1268.9,1278.4,204629,
01/08/2017,1275.6,1280.3,1268.4,1279.4,206396,
31/07/2017,1276.3,1277.3,1271.7,1273.4,158464,
28/07/2017,1265,1277,1263.2,1275.3,241286,
27/07/2017,1266.8,1271.3,1260.3,1266.5,154412,
26/07/2017,1256.2,1269.8,1249.4,1255.6,92181,
25/07/2017,1261.9,1264.2,1255.1,1258.5,61360,
24/07/2017,1261.4,1265.1,1258.1,1260.7,61616,
21/07/2017,1250.8,1262.1,1249.5,1261,51035,
20/07/2017,1240.6,1247.2,1234.6,1245.5,263291,
19/07/2017,1242,1243.5,1235.1,1242,189980,
18/07/2017,1233.3,1244.1,1232.2,1241.9,245241,
17/07/2017,1228.7,1235.4,1227.5,1233.7,166096,
14/07/2017,1216.4,1232.7,1214,1227.5,258301,
13/07/2017,1219.2,1223.6,1215.6,1217.3,219900,
12/07/2017,1216.5,1225.2,1212.5,1219.1,254172,
11/07/2017,1213.8,1217.1,1207.4,1214.7,213121,
10/07/2017,1212.1,1215,1204,1213.2,233437,
07/07/2017,1224.6,1228.1,1206.6,1209.7,310483,
06/07/2017,1226.5,1229.5,1221.8,1223.3,185809,
05/07/2017,1223,1228.4,1216.5,1221.7,348799,
03/07/2017,1220.1,1224.6,1220,1219.2,26906,
30/06/2017,1245.2,1248.2,1239,1242.3,210097,
29/06/2017,1249.6,1253.2,1239.7,1245.8,260590,
28/06/2017,1247.3,1255.7,1246.7,1249.1,188119,
27/06/2017,1245.2,1253.8,1241.8,1246.9,204721,
26/06/2017,1258.1,1259,1236.5,1246.4,219105,
23/06/2017,1250.9,1260,1250.6,1256.4,153529,
22/06/2017,1246.4,1256,1246.4,1249.4,182170,
21/06/2017,1243.9,1248.8,1241.7,1245.8,160236,
20/06/2017,1245.4,1249.4,1242.4,1243.5,172002,
19/06/2017,1255.8,1257.3,1244.3,1246.7,174183,
16/06/2017,1255.6,1258.6,1253.2,1256.5,145249,
15/06/2017,1262.7,1268.5,1252.7,1254.6,238470,
14/06/2017,1268.4,1284.2,1259,1275.9,337298,
13/06/2017,1267.7,1271,1260.5,1268.6,171164,
12/06/2017,1269.7,1272.4,1265.6,1268.9,168475,
09/06/2017,1283.5,1284.6,1266.7,1271.4,212190,
08/06/2017,1289.5,1291.5,1273.5,1279.5,247460,
07/06/2017,1297,1297.6,1285,1293.2,212480,
06/06/2017,1282.5,1298.8,1282.1,1297.5,243052,
05/06/2017,1282.6,1286,1280.2,1282.7,134854,
02/06/2017,1268,1282.2,1261.3,1280.2,257594,
01/06/2017,1271.6,1272.8,1263.7,1270.1,174611,
31/05/2017,1265.7,1276.8,1262,1275.4,193527,
30/05/2017,1270.1,1273.4,1261.8,1265.7,275724,
26/05/2017,1258.6,1272.7,1269.4,1271.4,14102,
25/05/2017,1261.6,1262.8,1256.9,1259.8,62975,
24/05/2017,1251.1,1258.8,1247.6,1253.1,234075,
23/05/2017,1260.4,1263.8,1250.5,1255.5,269982,
22/05/2017,1257.5,1262.6,1251.6,1261.4,201829,
19/05/2017,1246.8,1256.4,1246.1,1253.6,210569,
18/05/2017,1261.4,1265,1245.7,1252.8,361421,
17/05/2017,1237.2,1261.5,1236.3,1258.7,365967,
16/05/2017,1230.8,1239.1,1230,1236.4,197131,
15/05/2017,1228.3,1237.4,1226.8,1230,182239,
12/05/2017,1225,1231.6,1224.4,1227.7,189500,
11/05/2017,1219.2,1227.7,1216.9,1224.2,230075,
10/05/2017,1222.1,1225.8,1217.5,1218.9,185804,
09/05/2017,1226.6,1228.7,1214.3,1216.1,240063,
08/05/2017,1223.1,1236.9,1221,1227.1,188318,
05/05/2017,1228.5,1236,1226.2,1226.9,257019,
04/05/2017,1238.5,1241.7,1225.7,1228.6,305881,
03/05/2017,1257.8,1257.8,1236.4,1248.5,245496,
02/05/2017,1257.4,1258.8,1252.6,1257,171411,
01/05/2017,1269.6,1272.4,1254.9,1255.5,197023,
28/04/2017,1265.2,1269.9,1264.2,1268.3,166210,
27/04/2017,1270.2,1271.1,1261.8,1265.9,203162,
26/04/2017,1265.5,1272.8,1260.7,1264.2,233964,
25/04/2017,1277.9,1279.9,1262.8,1267.2,242791,
24/04/2017,1280,1280,1266,1277.5,287252,
21/04/2017,1283.3,1290.1,1280,1289.1,220990,
20/04/2017,1282.2,1285.2,1278,1283.8,237678,
19/04/2017,1291.7,1292.7,1275.4,1283.4,251024,
