Date,Open,High,Low,Close,Volume,Open Interest
2018/08/14 00:00:00,1193.1,1197.5,1192.8,1193,92,0
2018/08/13 00:00:00,1218.4,1221.4,1198.6,1198.9,363069,0
2018/08/10 00:00:00,1220,1224.9,1213.1,1219,317657,0
2018/08/09 00:00:00,1222,1225.6,1218.4,1219.9,225166,0
2018/08/08 00:00:00,1218.7,1223.8,1213.6,1221,255706,0
2018/08/07 00:00:00,1215.8,1224.3,1215.6,1218.3,199691,0
2018/08/06 00:00:00,1214.4,1214.4,1206.6,1208.6,297,0
2018/08/03 00:00:00,1216,1228.5,1212.5,1223.2,272386,0
2018/08/02 00:00:00,1214.7,1219.3,1205.8,1210.6,411,0
2018/08/01 00:00:00,1232.7,1233.7,1224.4,1227.6,210076,0
2018/07/31 00:00:00,1230.5,1237.8,1222.6,1233.6,287649,0
2018/07/30 00:00:00,1231.1,1234.1,1227.8,1231.5,178604,0
2018/07/27 00:00:00,1231.4,1236.5,1226.3,1232.7,150903,0
2018/07/26 00:00:00,1240.8,1244.6,1231.3,1235.3,99096,0
2018/07/25 00:00:00,1233.3,1243.4,1232.5,1241,55539,0
2018/07/24 00:00:00,1233.4,1238.6,1227,1234.6,64451,0
2018/07/23 00:00:00,1240.7,1244.7,1231.1,1234.4,75122,0
2018/07/20 00:00:00,1222.9,1232.4,1215.3,1231.1,342215,0
2018/07/19 00:00:00,1227.3,1229.6,1210.7,1224,414022,0
2018/07/18 00:00:00,1227,1229.1,1220.9,1227.9,272126,0
2018/07/17 00:00:00,1240.8,1245.1,1225.9,1227.3,304251,0
2018/07/16 00:00:00,1241,1245.8,1238.3,1239.7,178908,0
2018/07/13 00:00:00,1247.7,1248.5,1236.2,1241.2,248662,0
2018/07/12 00:00:00,1242.3,1248.8,1241.4,1246.6,216104,0
2018/07/11 00:00:00,1256.7,1257.3,1241.7,1244.4,293555,0
2018/07/10 00:00:00,1258.5,1261,1247.7,1255.4,266748,0
2018/07/09 00:00:00,1255.7,1266.9,1255.7,1259.6,231724,0
2018/07/06 00:00:00,1258.4,1260.2,1253.7,1255.8,195750,0
2018/07/05 00:00:00,1257.7,1262.4,1252.2,1258.8,372468,0
2018/07/03 00:00:00,1253.5,1262.4,1238.8,1253.5,145678,0
2018/07/02 00:00:00,1253.4,1255.6,1240.6,1241.7,251533,0
2018/06/29 00:00:00,1249.5,1257.1,1246.9,1254.5,221077,0
2018/06/28 00:00:00,1253.6,1255.8,1247.2,1251,234981,0
2018/06/27 00:00:00,1260.5,1261.9,1252.2,1256.1,250008,0
2018/06/26 00:00:00,1267.3,1269.4,1256.4,1259.9,243918,0
2018/06/25 00:00:00,1272.2,1274.4,1265.5,1268.9,191258,0
2018/06/22 00:00:00,1268.6,1273.1,1268.4,1270.7,177199,0
2018/06/21 00:00:00,1269.7,1272.3,1262.4,1270.5,268481,0
2018/06/20 00:00:00,1277.3,1278.6,1269.6,1274.5,223323,0
2018/06/19 00:00:00,1280.7,1286.8,1272.6,1278.6,272942,0
2018/06/18 00:00:00,1281.1,1284.9,1279.5,1280.1,180772,0
2018/06/15 00:00:00,1305.9,1306.7,1277.9,1278.5,495364,0
2018/06/14 00:00:00,1303.1,1313,1301,1308.3,332112,0
2018/06/13 00:00:00,1299.6,1305.2,1294.5,1301.3,254837,0
2018/06/12 00:00:00,1304.5,1304.8,1296.3,1299.4,227402,0
2018/06/11 00:00:00,1303.5,1307,1297.8,1303.2,206333,0
2018/06/08 00:00:00,1301.3,1304.8,1296,1302.7,211335,0
2018/06/07 00:00:00,1300.9,1307.8,1299,1303,239302,0
2018/06/06 00:00:00,1300.6,1306.1,1297.7,1301.4,239391,0
2018/06/05 00:00:00,1296.4,1304.8,1293.5,1302.2,257770,0
2018/06/04 00:00:00,1296.7,1302.3,1293.8,1297.3,209443,0
2018/06/01 00:00:00,1303,1304.8,1293.1,1299.3,308394,0
2018/05/31 00:00:00,1306,1311.5,1301,1304.7,293132,0
2018/05/30 00:00:00,1303.1,1308.8,1300,1306.5,320122,0
2018/05/29 00:00:00,1302.2,1311.3,1296.6,1304.1,348290,0
2018/05/25 00:00:00,1305.7,1309,1299.9,1309,61195,0
2018/05/24 00:00:00,1298,1311.8,1297.4,1309.8,99686,0
2018/05/23 00:00:00,1295.9,1303.8,1292,1294.8,61616,0
2018/05/22 00:00:00,1298.2,1301.3,1292.8,1297.4,42154,0
2018/05/21 00:00:00,1290.3,1292.7,1281.2,1290.9,313755,0
2018/05/18 00:00:00,1290,1293.7,1285.1,1291.3,254923,0
2018/05/17 00:00:00,1290.2,1294,1284,1289.4,289678,0
2018/05/16 00:00:00,1290.1,1296.4,1285.7,1291.5,321197,0
2018/05/15 00:00:00,1313.2,1314.7,1288.2,1290.3,461831,0
2018/05/14 00:00:00,1318.3,1322.4,1312.8,1318.2,235892,0
2018/05/11 00:00:00,1321.8,1326.3,1317,1320.7,259923,0
2018/05/10 00:00:00,1312.8,1323.4,1310.6,1322.3,362491,0
2018/05/09 00:00:00,1315.3,1317.8,1304.2,1313,372491,0
2018/05/08 00:00:00,1314.1,1318.5,1306.2,1313.7,398268,0
2018/05/07 00:00:00,1316.3,1320.1,1310.6,1314.1,230426,0
2018/05/04 00:00:00,1312.8,1316.9,1308.5,1314.7,299809,0
2018/05/03 00:00:00,1305.5,1319,1305.2,1312.7,297240,0
2018/05/02 00:00:00,1304.4,1314.9,1304.3,1305.6,350840,0
2018/05/01 00:00:00,1316,1317.4,1302.3,1306.8,267336,0
2018/04/30 00:00:00,1324,1325.9,1310.7,1319.2,287438,0
2018/04/27 00:00:00,1318,1326.4,1315.8,1323.4,232724,0
2018/04/26 00:00:00,1324.2,1328,1316.2,1317.9,285847,0
2018/04/25 00:00:00,1332,1333.8,1320.2,1322.8,256659,0
2018/04/24 00:00:00,1326.1,1334.5,1323.6,1333,267707,0
2018/04/23 00:00:00,1336.2,1337.6,1323.8,1324,276592,0
2018/04/20 00:00:00,1348.5,1348.9,1337,1338.3,269829,0
2018/04/19 00:00:00,1352.4,1357.7,1343.2,1348.8,325544,0
2018/04/18 00:00:00,1350.4,1359,1345,1353.5,298749,0
2018/04/17 00:00:00,1349.1,1352.2,1340.2,1349.5,267744,0
2018/04/16 00:00:00,1349.8,1353.5,1342.8,1350.7,258382,0
2018/04/13 00:00:00,1337.6,1350.3,1335.5,1347.9,253937,0
2018/04/12 00:00:00,1356.3,1356.7,1336.7,1341.9,374672,0
2018/04/11 00:00:00,1343.1,1369.4,1342.5,1360,467541,0
2018/04/10 00:00:00,1339.8,1346.2,1334.2,1345.9,278138,0
2018/04/09 00:00:00,1338,1341.5,1330.1,1340.1,222038,0
2018/04/06 00:00:00,1329.7,1339.1,1322.6,1336.1,361181,0
2018/04/05 00:00:00,1337.1,1338.7,1326,1328.5,266243,0
2018/04/04 00:00:00,1336.7,1352.5,1335.2,1340.2,334886,0
2018/04/03 00:00:00,1345,1346.6,1332.7,1337.3,276654,0
2018/04/02 00:00:00,1336.3,1355.1,1335.1,1352.9,4979,0
2018/03/29 00:00:00,1329.3,1332.6,1325.4,1327.3,235348,0
2018/03/28 00:00:00,1351.1,1352.2,1327.7,1330,358319,0
2018/03/27 00:00:00,1351.1,1352.2,1347.9,1347.9,24159,0
2018/03/26 00:00:00,1350.6,1361.8,1349.2,1360.9,187073,0
2018/03/23 00:00:00,1335.5,1356.3,1334.7,1355.7,124800,0
2018/03/22 00:00:00,1338,1340.8,1330.3,1333.2,70121,0
2018/03/21 00:00:00,1310.6,1336.9,1309.5,1321.5,451237,0
2018/03/20 00:00:00,1316.5,1318.1,1306.6,1311.9,281146,0
2018/03/19 00:00:00,1312.9,1319.6,1307.4,1317.8,283944,0
2018/03/16 00:00:00,1316.8,1321.8,1309.5,1312.3,277568,0
2018/03/15 00:00:00,1324.7,1328.1,1314.9,1317.8,241746,0
2018/03/14 00:00:00,1326.7,1330.5,1321.7,1325.6,247027,0
2018/03/13 00:00:00,1323.3,1328.8,1313.8,1327.1,321790,0
2018/03/12 00:00:00,1324.1,1325,1315.3,1320.8,214392,0
2018/03/09 00:00:00,1322.7,1325.9,1313.2,1324,336571,0
2018/03/08 00:00:00,1326.2,1329.8,1319.6,1321.7,241811,0
2018/03/07 00:00:00,1339.5,1342,1323,1327.6,297281,0
2018/03/06 00:00:00,1321,1339.9,1320.8,1335.2,269691,0
2018/03/05 00:00:00,1324.9,1328.9,1318.3,1319.9,215468,0
2018/03/02 00:00:00,1318,1326.6,1316.2,1323.4,256112,0
2018/03/01 00:00:00,1319.3,1322.3,1303.6,1305.2,395651,0
2018/02/28 00:00:00,1318.9,1323.7,1316.7,1317.9,251263,0
2018/02/27 00:00:00,1331.7,1332.6,1312.7,1315.5,710,0
2018/02/26 00:00:00,1330.4,1342.9,1328,1332.8,237905,0
2018/02/23 00:00:00,1333.7,1334.2,1327.7,1330.3,165052,0
2018/02/22 00:00:00,1326.2,1334.4,1322.9,1332.7,201972,0
2018/02/21 00:00:00,1331.2,1338.5,1324.4,1332.1,244241,0
2018/02/20 00:00:00,1348.9,1354,1330.6,1331.2,357520,0
2018/02/16 00:00:00,1350.2,1356.2,1349.5,1356.2,21489,0
2018/02/15 00:00:00,1353,1359.8,1350.8,1355.3,251537,0
2018/02/14 00:00:00,1331.9,1358.6,1319.1,1358,405262,0
2018/02/13 00:00:00,1325,1333.5,1323.7,1330.4,192998,0
2018/02/12 00:00:00,1317.1,1330,1316.3,1326.4,203283,0
2018/02/09 00:00:00,1321,1325,1313.2,1315.7,306980,0
2018/02/08 00:00:00,1320.7,1324.5,1309,1319,349123,0
2018/02/07 00:00:00,1326.6,1334.8,1313.5,1314.6,335680,0
2018/02/06 00:00:00,1343.1,1349.3,1322.8,1329.5,457363,0
2018/02/05 00:00:00,1334.6,1344.8,1331.6,1336.5,298950,0
2018/02/02 00:00:00,1352.2,1353.3,1330.1,1337.3,416513,0
2018/02/01 00:00:00,1348.2,1354.3,1340.2,1347.9,301115,0
2018/01/31 00:00:00,1341.8,1351,1335.5,1343.1,365063,0
2018/01/30 00:00:00,1344,1352.5,1337.5,1340,394887,0
2018/01/29 00:00:00,1353.7,1356.3,1340.9,1345.1,224553,0
2018/01/26 00:00:00,1352.7,1361,1348.6,1357.2,139946,0
2018/01/25 00:00:00,1362.7,1370.5,1346.2,1368,140915,0
2018/01/24 00:00:00,1346.2,1366.8,1344.1,1361.4,147749,0
2018/01/23 00:00:00,1333,1341.5,1330.7,1336.7,354786,0
2018/01/22 00:00:00,1334,1335.8,1328,1331.9,325008,0
2018/01/19 00:00:00,1327,1338.2,1326.6,1333.1,268077,0
2018/01/18 00:00:00,1327.4,1333.3,1324.3,1327.2,305093,0
2018/01/17 00:00:00,1339,1344.5,1326.6,1339.2,358312,0
2018/01/16 00:00:00,1340.9,1345,1332.1,1337.1,472155,0
2018/01/12 00:00:00,1337.3,1342.4,1334.9,1334.9,44651,0
2018/01/11 00:00:00,1317.5,1324.7,1316.1,1322.5,254541,0
2018/01/10 00:00:00,1313.3,1328.6,1308.9,1319.3,382605,0
2018/01/09 00:00:00,1321.2,1321.4,1309.5,1313.7,321636,0
2018/01/08 00:00:00,1321.8,1323,1315.7,1320.4,238332,0
2018/01/05 00:00:00,1324.4,1324.7,1314.6,1322.3,322422,0
2018/01/04 00:00:00,1315.5,1327.3,1307.1,1321.6,350803,0
2018/01/03 00:00:00,1319,1323,1308.9,1318.5,342866,0
2018/01/02 00:00:00,1305.3,1320.4,1304.6,1316.1,269072,0
2017/12/29 00:00:00,1297.5,1309.8,1296.1,1309.3,226714,0
2017/12/28 00:00:00,1292,1297.3,1290.5,1297.2,213624,0
2017/12/27 00:00:00,1287.8,1293.2,1286,1291.4,193217,0
2017/12/26 00:00:00,1279,1288.4,1277.7,1287.5,130981,0
2017/12/22 00:00:00,1270.3,1280.4,1268.4,1278.8,180314,0
2017/12/21 00:00:00,1268.8,1272.5,1266,1270.6,188932,0
2017/12/20 00:00:00,1264.8,1271.4,1264.4,1269.6,198670,0
2017/12/19 00:00:00,1265.4,1268.6,1262.3,1264.2,196646,0
2017/12/18 00:00:00,1257.8,1267,1255.3,1265.5,202834,0
2017/12/15 00:00:00,1255.5,1264.5,1255.2,1257.5,230959,0
2017/12/14 00:00:00,1258.1,1261.6,1252.8,1257.1,252441,0
2017/12/13 00:00:00,1246.3,1259.7,1242.3,1248.6,296022,0
2017/12/12 00:00:00,1243.9,1247.9,1238.3,1241.7,216831,0
2017/12/11 00:00:00,1249.2,1253.4,1242.4,1246.9,185028,0
